effect,term,estimate,std.error,statistic,df,p.value
fixed,(Intercept),8367.197333068254,1888.2758299875688,4.431130876214911,2.41193627877918,0.03322716364826964
fixed,cultivarCDC_Austenson,153.9602668549814,95.55641676340205,1.61119757384988,632.0546811313551,0.10763589384963408
fixed,cultivarEsma,130.50558539534578,95.65690667409453,1.3643090701226788,632.0530627597675,0.1729558822153998
fixed,cultivarTR18647,-374.3036458383922,191.07889858467564,-1.9588957682447674,632.4603025042065,0.05056399576062874
fixed,pgr_trt_nameM125_37,-3.6274482632449594,156.04643827064817,-0.023245953598463327,631.9991004961005,0.9814614202265652
fixed,pgr_trt_nameM62.5_21-24,-76.61638928300972,156.04643827064817,-0.49098454365312494,631.999100501589,0.6236078204473708
fixed,pgr_trt_nameM62.5_21-24 + M62.5_30-32,224.30230320770684,156.04643827064817,1.4374073877846232,631.9991005107446,0.15109717631583852
fixed,pgr_trt_nameM62.5_21-24 + M62.5_37,204.6405679180753,156.0464382706482,1.311408130720325,631.999100491601,0.19019613551976833
fixed,pgr_trt_nameM62.5_30-32,103.22081213713444,156.59924745828656,0.6591398988978503,631.9991679092885,0.5100460207135542
fixed,pgr_trt_nameM62.5_30-32 + M62.5_37,35.3461142518306,156.04643827064817,0.22651022761907594,631.9991005034154,0.8208778457966033
fixed,pgr_trt_nameM62.5_37,163.53204908089708,156.0464382706482,1.0479704047923593,631.9991004751624,0.29505284259273507
fixed,pgr_trt_nameNo_PGR,-117.86803225329716,156.04643827064817,-0.7553394589427662,631.9991005024358,0.4503267292786304
